region_no,region,year,month,sal_base,sal_fallX2_hi,sal_fallX2_low,sal_sumX2_hi
5,Lower Sacramento,2024,10,0.730427622,0.874314635,0.239164838,NA
5,Lower Sacramento,2024,11,1.083418974,0.481214046,0.251682539,NA
5,Lower Sacramento,2024,12,0.101273467,NA,NA,NA
6,Lower San Joaquin,2024,1,0.113713716,NA,NA,NA
6,Lower San Joaquin,2024,2,0.106026731,NA,NA,NA
6,Lower San Joaquin,2024,3,0.109874599,NA,NA,NA
6,Lower San Joaquin,2024,4,0.103264115,NA,NA,NA
6,Lower San Joaquin,2024,5,0.085069864,NA,NA,NA
6,Lower San Joaquin,2024,6,0.08547122,NA,NA,0.174322499
6,Lower San Joaquin,2024,7,0.104933683,NA,NA,0.295557757
6,Lower San Joaquin,2024,8,0.162371942,0.284768764,0.167513035,0.339114804
6,Lower San Joaquin,2024,9,0.178027918,0.426077241,0.147435086,0.368736748
6,Lower San Joaquin,2024,10,0.294087588,0.466743396,0.188539978,NA
6,Lower San Joaquin,2024,11,0.364645075,0.327878831,0.208389587,NA
6,Lower San Joaquin,2024,12,0.17858571,NA,NA,NA
7,Confluence,2024,1,0.171848973,NA,NA,NA
7,Confluence,2024,2,0.085314642,NA,NA,NA
7,Confluence,2024,3,0.090204734,NA,NA,NA
7,Confluence,2024,4,0.086003529,NA,NA,NA
7,Confluence,2024,5,0.08203304,NA,NA,NA
7,Confluence,2024,6,0.107167725,NA,NA,0.504763711
7,Confluence,2024,7,0.415407488,NA,NA,1.485372022
7,Confluence,2024,8,0.689196919,1.50048335,0.514015884,2.134899817
7,Confluence,2024,9,0.664055479,3.176124314,0.372724732,2.372269728
7,Confluence,2024,10,3.292978901,3.680838863,0.590387011,NA
7,Confluence,2024,11,2.745967708,1.45045934,0.580898899,NA
7,Confluence,2024,12,0.156269215,NA,NA,NA
8,SE Suisun,2024,1,1.170411145,NA,NA,NA
8,SE Suisun,2024,2,0.095364509,NA,NA,NA
8,SE Suisun,2024,3,0.089951248,NA,NA,NA
8,SE Suisun,2024,4,0.133703708,NA,NA,NA
8,SE Suisun,2024,5,0.591009821,NA,NA,NA
8,SE Suisun,2024,6,0.610349596,NA,NA,1.197097434
8,SE Suisun,2024,7,2.10038602,NA,NA,3.910684502
8,SE Suisun,2024,8,4.101691283,3.986043923,1.232514152,5.865902536
8,SE Suisun,2024,9,3.290693535,9.010723987,0.861508082,6.544942955
8,SE Suisun,2024,10,6.941350759,10.55465277,1.421087277,NA
8,SE Suisun,2024,11,7.445159504,3.727562527,1.36777083,NA
8,SE Suisun,2024,12,1.385345683,NA,NA,NA
9,NE Suisun,2024,1,0.696856931,NA,NA,NA
9,NE Suisun,2024,2,0.115480223,NA,NA,NA
